Game,Min,Max ,Play Time,Complexity,Tags,Expansions,Favorite,Easy to Learn,Bluffing,Card,Co-op,Dexterity,Family,Laughter,Luck,Party,Strategy,Trivia,Words,Tags
5 Minute Dungeon,2,6,short,casual,"Favorite, Easy to Learn, Card, Co-op", ,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Favorite, Easy to Learn, Card, Co-op, "
7 Wonders,3,5,long,complex,"Card, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Card, Strategy, "
Arboretum,2,4,medium,complex,"Card, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Card, Strategy, "
Astra,2,5,medium,complex,"Favorite, Strategy", ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Favorite, Strategy, "
Azul,2,4,medium,casual,"Favorite, Strategy", ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Favorite, Strategy, "
Bananagrams,2,8,short,casual,"Family, Words", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Family, Words, "
Battleship,2,2,short,casual,"Easy to Learn, Family, Luck, Strategy", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Easy to Learn, Family, Luck, Strategy, "
Bears vs Babies,2,5,medium,simple,"Card, Laughter, Party", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Card, Laughter, Party, "
Bendomino,2,4,medium,simple,"Family, Strategy", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Family, Strategy, "
Betrayal,3,6,long,complex,"Favorite, Easy to Learn, Co-op, Party","House on the Hill, Baldur's Gate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Favorite, Easy to Learn, Co-op, Party, "
Betrayal Scooby Doo,3,5,medium,simple,"Easy to Learn, Family", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Family, "
Blink,2,2,short,simple,"Easy to Learn, Card, Dexterity, Luck", ,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Dexterity, Luck, "
Boggle,2,12,medium,complex,"Favorite, Easy to Learn, Family, Words", ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Favorite, Easy to Learn, Family, Words, "
Boop,2,2,short,complex,"Easy to Learn, Strategy", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Easy to Learn, Strategy, "
Boss Monster,2,4,medium,casual,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Braintopia,2,6,medium,complex,"Card, Dexterity", ,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, Dexterity, "
Calico,1,4,medium,complex,"Family, Strategy", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Family, Strategy, "
